Tahun;Latitude;Longitude;Faskes;Kecamatan;Kasus
2023;-7.007534375;110.4196091;RS. ST ELISABETH KOTA SEMARANG;Candisari;549
2023;-6.970118791;110.4397932;RS PANTI WILASA CITARUM;Semarang Timur;443
2023;-7.033665421;110.4660786;RSD K.R.M.T WONGSONEGORO SEMARANG;Tembalang;481
2023;-7.000454374;110.4465666;RS BHAYANGKARA SEMARANG;Gayamsari;130
2023;-7.001036465;110.4279333;RS ROEMANI MUHAMMADIYAH;Semarang Selatan;487
2023;-6.972767312;110.4344825;RS PANTI WILASA DR. CIPTO;Semarang Timur;352
2023;-6.996032966;110.4073663;RSIA GUNUNG SAWO;Gajahmungkur;0
2023;-7.072387345;110.4114633;RS HERMINA BANYUMANIK;Banyumanik;133
2023;-6.996724117;110.4051304;RSU WILLIAM BOOTH;Gajahmungkur;175
2023;-6.993881681;110.4098608;RSUP Dr. KARIADI;Semarang Selatan;19
2023;-6.999965014;110.3424247;RS PERMATA MEDIKA;Ngaliyan;242
2023;-6.986777263;110.4079005;Rumkit TK.III Bhakti Wira Tamtama;Semarang Selatan;38
2023;-7.078364406;110.4117746;RS BANYUMANIK 2;Banyumanik;19
2023;-7.047622288;110.443654;RS NASIONAL DIPONEGORO;Tembalang;33
2023;-6.984320768;110.3562115;RSUD DR ADHYATMA MPH TUGUREJO;Ngaliyan;207
2023;-7.009626214;110.4631284;RS JIWA DAERAH Dr. AMINO GONDOHUTOMO;Pedurungan;37
2023;-6.998793978;110.4342318;RSIA SILOAM SEMARANG;Semarang Selatan;27
2023;-6.992224266;110.4051002;RSIA ANUGERAH;Semarang Selatan;0
2023;-6.985781556;110.4130101;RS HERMINA PANDANARAN;Semarang Tengah;129
2023;-6.987389117;110.426811;RS TELOGOREJO SEMARANG;Semarang Tengah;159
2023;-6.975759163;110.4364645;RSIA KUSUMA PRADJA;Semarang Timur;2
2023;-6.994314518;110.4331334;RSIA BUNDA;Semarang Timur;20
2023;-7.063643084;110.4167926;RS BANYUMANIK;Banyumanik;76
2023;-7.034115095;110.3286261;RSIA ANANDA PASAR ACE;Mijen;0
2023;-6.984029212;110.3833352;RSKB COLUMBIA ASIA SEMARANG;Semarang Barat;151
2023;-6.955617002;110.4616543;RSI SULTAN AGUNG SEMARANG;Genuk;106
2023;-6.967208357;110.391892;RS KELUARGA SEHAT III KOTA SEMARANG;Semarang Barat;0
2023;-7.022413218;110.489449;PKM. PLAMONGANSARI;Pedurungan;0
2023;-7.05954278;110.4479415;PKM. BULUSAN;Tembalang;0
2023;-6.97742551;110.3872126;RS SAMSOE HIDAJAT;Semarang Barat;0
2023;-7.055583658;110.3145127;RSUD MIJEN;Mijen;0
2023;-7.023328388;110.461669;RS PRIMAYA KOTA SEMARANG;Tembalang;0
2023;-7.023417892;110.4979438;RSIA PLAMONGAN INDAH;Pedurungan;0
2023;-7.066493017;110.3588153;RS CEPOKO;Gunungpati;0
2023;-7.019404886;110.4190708;RS BHAYANGKARA TK III AKPOL;Gajahmungkur;0
2023;-7.02205;110.4587;RS UNIMUS;Tembalang;0
